../mytest/moptest.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 0050011301000093, OPCODE2 = 00000, ALU_DATA = 0000000500000010, UART = 00
                  30: PC = 00000058, OPCODE = 000000000030a023, OPCODE2 = 00000, ALU_DATA = 0000000000000100, UART = 00
                  32: PC = 0000005c, OPCODE = 000000000040a203, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
                  34: PC = 00000060, OPCODE = 000200130000a283, OPCODE2 = 00000, ALU_DATA = 11ffaa9900000100, UART = 00
                  36: PC = 00000068, OPCODE = 0000000000028013, OPCODE2 = 00000, ALU_DATA = 00000000bb883322, UART = 00
                  38: PC = 0000006c, OPCODE = 004080930000a303, OPCODE2 = 00000, ALU_DATA = 0000010400000100, UART = 00
                  39: PC = 0000006c, OPCODE = 004080930000a303, OPCODE2 = 00000, ALU_DATA = 0000010800000104, UART = 00
                  40: PC = 00000074, OPCODE = 0000006f00008013, OPCODE2 = 00000, ALU_DATA = 0000007800000104, UART = 00
                  42: PC = 00000078, OPCODE = 000000000000006f, OPCODE2 = 00000, ALU_DATA = 0000000000000078, UART = 00
../mytest/moptest5.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = beefa13700800093, OPCODE2 = 00000, ALU_DATA = beefa00000000008, UART = 00
                   2: PC = 00000008, OPCODE = 0000000066410113, OPCODE2 = 00000, ALU_DATA = 00000000beefa664, UART = 00
                   3: PC = 00000008, OPCODE = 0000000066410113, OPCODE2 = 00000, ALU_DATA = 00000000beefacc8, UART = 00
                   4: PC = 0000000c, OPCODE = 000000130020a023, OPCODE2 = 00000, ALU_DATA = 0000000000000008, UART = 00
                   6: PC = 00000014, OPCODE = 00c0009300000013, OPCODE2 = 00000, ALU_DATA = 0000000c00000000, UART = 00
                   8: PC = 0000001c, OPCODE = 000000001234510b, OPCODE2 = 033c4, ALU_DATA = 0000000012345678, UART = 00
                  10: PC = 00000024, OPCODE = 000000130020a023, OPCODE2 = 00000, ALU_DATA = 000000000000000c, UART = 00
                  12: PC = 0000002c, OPCODE = 0020009300000013, OPCODE2 = 00000, ALU_DATA = 0000000200000000, UART = 00
                  14: PC = 00000034, OPCODE = 0ff0019300400113, OPCODE2 = 00000, ALU_DATA = 000000ff00000004, UART = 00
                  16: PC = 0000003c, OPCODE = 000000000010918b, OPCODE2 = 00012, ALU_DATA = 0000000000000008, UART = 00
                  18: PC = 00000044, OPCODE = 000000000001a183, OPCODE2 = 00000, ALU_DATA = 0000000000000008, UART = 00
                  19: PC = 00000044, OPCODE = 000000000001a183, OPCODE2 = 00000, ALU_DATA = 00000000beefa664, UART = 00
                  20: PC = 00000048, OPCODE = 003002b3003002b3, OPCODE2 = 00000, ALU_DATA = beefa664beefa664, UART = 00
                  22: PC = 00000050, OPCODE = 00209193003002b3, OPCODE2 = 00000, ALU_DATA = 00000008beefa664, UART = 00
                  23: PC = 00000050, OPCODE = 00209193003002b3, OPCODE2 = 00000, ALU_DATA = 0000000800000008, UART = 00
                  24: PC = 00000058, OPCODE = 000000000021818b, OPCODE2 = 10003, ALU_DATA = 000000000000000c, UART = 00
                  25: PC = 00000058, OPCODE = 000000000021818b, OPCODE2 = 10003, ALU_DATA = 000000001234567c, UART = 00
                  26: PC = 00000060, OPCODE = 003002b3003002b3, OPCODE2 = 00000, ALU_DATA = 1234567812345678, UART = 00
                  28: PC = 00000068, OPCODE = 00309193003002b3, OPCODE2 = 00000, ALU_DATA = 0000001012345678, UART = 00
                  29: PC = 00000068, OPCODE = 00309193003002b3, OPCODE2 = 00000, ALU_DATA = 0000001000000010, UART = 00
                  30: PC = 00000070, OPCODE = 000000000021818b, OPCODE2 = 10003, ALU_DATA = 0000000000000014, UART = 00
                  31: PC = 00000070, OPCODE = 000000000021818b, OPCODE2 = 10003, ALU_DATA = 0000000000000017, UART = 00
                  32: PC = 00000078, OPCODE = 00109193003002b3, OPCODE2 = 00000, ALU_DATA = 0000000400000013, UART = 00
                  33: PC = 00000078, OPCODE = 00109193003002b3, OPCODE2 = 00000, ALU_DATA = 0000000400000004, UART = 00
                  34: PC = 00000080, OPCODE = 000000000021818b, OPCODE2 = 10003, ALU_DATA = 0000000000000008, UART = 00
                  35: PC = 00000080, OPCODE = 000000000021818b, OPCODE2 = 10003, ALU_DATA = 00000000beefa668, UART = 00
                  36: PC = 00000088, OPCODE = 003002b3003002b3, OPCODE2 = 00000, ALU_DATA = beefa664beefa664, UART = 00
                  38: PC = 00000090, OPCODE = 0000006f003002b3, OPCODE2 = 00000, ALU_DATA = 00000094beefa664, UART = 00
                  40: PC = 00000094, OPCODE = 000000000000006f, OPCODE2 = 00000, ALU_DATA = 0000000000000094, UART = 00
../mytest/moptest6.hex
WARNING: RV32IM-2mof.v:361: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 0000000000000093, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                   2: PC = 00000004, OPCODE = 000000000000a103, OPCODE2 = 00000, ALU_DATA = 0000000000000000, UART = 00
                   4: PC = 00000008, OPCODE = 000000000040a183, OPCODE2 = 00000, ALU_DATA = 0000000000000004, UART = 00
                   6: PC = 0000000c, OPCODE = 000100130080a203, OPCODE2 = 00000, ALU_DATA = 0000009300000008, UART = 00
                   8: PC = 00000014, OPCODE = 0002001300018013, OPCODE2 = 00000, ALU_DATA = 0040a1830000a103, UART = 00
                  10: PC = 0000001c, OPCODE = 0000000000400093, OPCODE2 = 00000, ALU_DATA = 0000000000000004, UART = 00
                  12: PC = 00000020, OPCODE = 000000000080a103, OPCODE2 = 00000, ALU_DATA = 000000000000000c, UART = 00
                  14: PC = 00000024, OPCODE = 000000000040a183, OPCODE2 = 00000, ALU_DATA = 0000000000000008, UART = 00
                  16: PC = 00000028, OPCODE = 000100130000a203, OPCODE2 = 00000, ALU_DATA = 0080a20300000004, UART = 00
                  18: PC = 00000030, OPCODE = 0002001300018013, OPCODE2 = 00000, ALU_DATA = 0000a1030040a183, UART = 00
                  20: PC = 00000038, OPCODE = 11ffb13710000093, OPCODE2 = 00000, ALU_DATA = 11ffb00000000100, UART = 00
                  22: PC = 00000040, OPCODE = bb8831b7a9910113, OPCODE2 = 00000, ALU_DATA = bb88300011ffaa99, UART = 00
                  23: PC = 00000040, OPCODE = bb8831b7a9910113, OPCODE2 = 00000, ALU_DATA = bb88300011ffa532, UART = 00
                  24: PC = 00000048, OPCODE = 0000000032218193, OPCODE2 = 00000, ALU_DATA = 00000000bb883322, UART = 00
                  25: PC = 00000048, OPCODE = 0000000032218193, OPCODE2 = 00000, ALU_DATA = 00000000bb883644, UART = 00
                  26: PC = 0000004c, OPCODE = 000000000020a023, OPCODE2 = 00000, ALU_DATA = 0000000000000100, UART = 00
                  28: PC = 00000050, OPCODE = 000000000030a223, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
                  30: PC = 00000054, OPCODE = 000000000040a423, OPCODE2 = 00000, ALU_DATA = 0000000000000108, UART = 00
                  32: PC = 00000058, OPCODE = 000000000000a283, OPCODE2 = 00000, ALU_DATA = 0000000000000100, UART = 00
                  34: PC = 0000005c, OPCODE = 000000000040a303, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
                  36: PC = 00000060, OPCODE = 000280130080a383, OPCODE2 = 00000, ALU_DATA = 11ffaa9900000108, UART = 00
                  38: PC = 00000068, OPCODE = 0003801300030013, OPCODE2 = 00000, ALU_DATA = 0000a103bb883322, UART = 00
                  40: PC = 00000070, OPCODE = 000000000020a623, OPCODE2 = 00000, ALU_DATA = 000000000000010c, UART = 00
                  42: PC = 00000074, OPCODE = 000000000030a423, OPCODE2 = 00000, ALU_DATA = 0000000000000108, UART = 00
                  44: PC = 00000078, OPCODE = 000000000040a223, OPCODE2 = 00000, ALU_DATA = 0000000000000104, UART = 00
                  46: PC = 0000007c, OPCODE = 0000000000c0a283, OPCODE2 = 00000, ALU_DATA = 000000000000010c, UART = 00
                  48: PC = 00000080, OPCODE = 000000000080a303, OPCODE2 = 00000, ALU_DATA = 0000000000000108, UART = 00
                  50: PC = 00000084, OPCODE = 000280130040a383, OPCODE2 = 00000, ALU_DATA = 11ffaa9900000104, UART = 00
                  52: PC = 0000008c, OPCODE = 0003801300030013, OPCODE2 = 00000, ALU_DATA = 0000a103bb883322, UART = 00
                  54: PC = 00000094, OPCODE = 004080930000a303, OPCODE2 = 00000, ALU_DATA = 0000010400000100, UART = 00
                  55: PC = 00000094, OPCODE = 004080930000a303, OPCODE2 = 00000, ALU_DATA = 0000010800000104, UART = 00
                  56: PC = 0000009c, OPCODE = 0000006f00008013, OPCODE2 = 00000, ALU_DATA = 000000a000000104, UART = 00
                  58: PC = 000000a0, OPCODE = 000000000000006f, OPCODE2 = 00000, ALU_DATA = 00000000000000a0, UART = 00
