../mytest/moptest.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 01000093, ALU_DATA = 00000010, UART = 00
                  84: PC = 000000a8, OPCODE = 00400333, ALU_DATA = 00000000, UART = 00
                  86: PC = 000000ac, OPCODE = 0200b1b3, ALU_DATA = 00000000, UART = 00
                  88: PC = 000000b0, OPCODE = 02008233, ALU_DATA = 00000000, UART = 00
                  90: PC = 000000b4, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  92: PC = 000000b8, OPCODE = 00400333, ALU_DATA = 00000000, UART = 00
                  94: PC = 000000bc, OPCODE = 00500113, ALU_DATA = 00000005, UART = 00
                  96: PC = 000000c0, OPCODE = 022091b3, ALU_DATA = fffffffd, UART = 00
                  98: PC = 000000c4, OPCODE = 02208233, ALU_DATA = 800005af, UART = 00
                 100: PC = 000000c8, OPCODE = 003002b3, ALU_DATA = fffffffd, UART = 00
                 102: PC = 000000cc, OPCODE = 00400333, ALU_DATA = 800005af, UART = 00
                 104: PC = 000000d0, OPCODE = 0220a1b3, ALU_DATA = fffffffd, UART = 00
                 106: PC = 000000d4, OPCODE = 02208233, ALU_DATA = 800005af, UART = 00
                 108: PC = 000000d8, OPCODE = 003002b3, ALU_DATA = fffffffd, UART = 00
                 110: PC = 000000dc, OPCODE = 00400333, ALU_DATA = 800005af, UART = 00
                 112: PC = 000000e0, OPCODE = 021121b3, ALU_DATA = 00000002, UART = 00
                 114: PC = 000000e4, OPCODE = 02110233, ALU_DATA = 800005af, UART = 00
                 116: PC = 000000e8, OPCODE = 003002b3, ALU_DATA = 00000002, UART = 00
                 118: PC = 000000ec, OPCODE = 00400333, ALU_DATA = 800005af, UART = 00
                 120: PC = 000000f0, OPCODE = 022091b3, ALU_DATA = fffffffd, UART = 00
                 122: PC = 000000f4, OPCODE = 02208233, ALU_DATA = 800005af, UART = 00
                 124: PC = 000000f8, OPCODE = 003002b3, ALU_DATA = fffffffd, UART = 00
                 126: PC = 000000fc, OPCODE = 00400333, ALU_DATA = 800005af, UART = 00
                 128: PC = 00000100, OPCODE = 00600313, ALU_DATA = 00000006, UART = 00
                 130: PC = 00000104, OPCODE = 0000006f, ALU_DATA = 00000104, UART = 00
../mytest/moptest3.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 00700093, ALU_DATA = 00000007, UART = 00
                   2: PC = 00000004, OPCODE = 00200113, ALU_DATA = 00000002, UART = 00
                   4: PC = 00000008, OPCODE = 0220c1b3, ALU_DATA = 00000003, UART = 00
                   6: PC = 0000000c, OPCODE = 0220e233, ALU_DATA = 00000001, UART = 00
                   8: PC = 00000010, OPCODE = 003002b3, ALU_DATA = 00000003, UART = 00
                  10: PC = 00000014, OPCODE = 00400333, ALU_DATA = 00000001, UART = 00
                  12: PC = 00000018, OPCODE = 0220d1b3, ALU_DATA = 00000003, UART = 00
                  14: PC = 0000001c, OPCODE = 0220f233, ALU_DATA = 00000001, UART = 00
                  16: PC = 00000020, OPCODE = 003002b3, ALU_DATA = 00000003, UART = 00
                  18: PC = 00000024, OPCODE = 00400333, ALU_DATA = 00000001, UART = 00
                  20: PC = 00000028, OPCODE = 01900093, ALU_DATA = 00000019, UART = 00
                  22: PC = 0000002c, OPCODE = 00300113, ALU_DATA = 00000003, UART = 00
                  24: PC = 00000030, OPCODE = 0220c1b3, ALU_DATA = 00000008, UART = 00
                  26: PC = 00000034, OPCODE = 0220e233, ALU_DATA = 00000001, UART = 00
                  28: PC = 00000038, OPCODE = 003002b3, ALU_DATA = 00000008, UART = 00
                  30: PC = 0000003c, OPCODE = 00400333, ALU_DATA = 00000001, UART = 00
                  32: PC = 00000040, OPCODE = 0220d1b3, ALU_DATA = 00000008, UART = 00
                  34: PC = 00000044, OPCODE = 0220f233, ALU_DATA = 00000001, UART = 00
                  36: PC = 00000048, OPCODE = 003002b3, ALU_DATA = 00000008, UART = 00
                  38: PC = 0000004c, OPCODE = 00400333, ALU_DATA = 00000001, UART = 00
                  40: PC = 00000050, OPCODE = 00300093, ALU_DATA = 00000003, UART = 00
                  42: PC = 00000054, OPCODE = 01900113, ALU_DATA = 00000019, UART = 00
                  44: PC = 00000058, OPCODE = 0220c1b3, ALU_DATA = 00000000, UART = 00
                  46: PC = 0000005c, OPCODE = 0220e233, ALU_DATA = 00000003, UART = 00
                  48: PC = 00000060, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  50: PC = 00000064, OPCODE = 00400333, ALU_DATA = 00000003, UART = 00
                  52: PC = 00000068, OPCODE = 0220d1b3, ALU_DATA = 00000000, UART = 00
                  54: PC = 0000006c, OPCODE = 0220f233, ALU_DATA = 00000003, UART = 00
                  56: PC = 00000070, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  58: PC = 00000074, OPCODE = 00400333, ALU_DATA = 00000003, UART = 00
                  60: PC = 00000078, OPCODE = 01900093, ALU_DATA = 00000019, UART = 00
                  62: PC = 0000007c, OPCODE = ff900113, ALU_DATA = fffffff9, UART = 00
                  64: PC = 00000080, OPCODE = 0220c1b3, ALU_DATA = fffffffd, UART = 00
                  66: PC = 00000084, OPCODE = 0220e233, ALU_DATA = 00000004, UART = 00
                  68: PC = 00000088, OPCODE = 003002b3, ALU_DATA = fffffffd, UART = 00
                  70: PC = 0000008c, OPCODE = 00400333, ALU_DATA = 00000004, UART = 00
                  72: PC = 00000090, OPCODE = 0220d1b3, ALU_DATA = 00000000, UART = 00
                  74: PC = 00000094, OPCODE = 0220f233, ALU_DATA = 00000019, UART = 00
                  76: PC = 00000098, OPCODE = 003002b3, ALU_DATA = 00000000, UART = 00
                  78: PC = 0000009c, OPCODE = 00400333, ALU_DATA = 00000019, UART = 00
                  80: PC = 000000a0, OPCODE = 0000006f, ALU_DATA = 000000a0, UART = 00
../mytest/moptest4.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 00000093, ALU_DATA = 00000000, UART = 00
                   2: PC = 00000004, OPCODE = 0000a103, ALU_DATA = 00000000, UART = 00
                   4: PC = 00000008, OPCODE = 0040a183, ALU_DATA = 00000004, UART = 00
                   6: PC = 0000000c, OPCODE = 00010013, ALU_DATA = 00000093, UART = 00
                   8: PC = 00000010, OPCODE = 00018013, ALU_DATA = 0000a103, UART = 00
                  10: PC = 00000014, OPCODE = 00400093, ALU_DATA = 00000004, UART = 00
                  12: PC = 00000018, OPCODE = 0040a103, ALU_DATA = 00000008, UART = 00
                  14: PC = 0000001c, OPCODE = 0080a183, ALU_DATA = 0000000c, UART = 00
                  16: PC = 00000020, OPCODE = 00010013, ALU_DATA = 0040a183, UART = 00
                  18: PC = 00000024, OPCODE = 00018013, ALU_DATA = 00010013, UART = 00
                  20: PC = 00000028, OPCODE = 10000093, ALU_DATA = 00000100, UART = 00
                  22: PC = 0000002c, OPCODE = 11ffb137, ALU_DATA = 11ffb000, UART = 00
                  24: PC = 00000030, OPCODE = a9910113, ALU_DATA = 11ffaa99, UART = 00
                  25: PC = 00000030, OPCODE = a9910113, ALU_DATA = 11ffa532, UART = 00
                  26: PC = 00000034, OPCODE = bb8831b7, ALU_DATA = bb883000, UART = 00
                  28: PC = 00000038, OPCODE = 32218193, ALU_DATA = bb883322, UART = 00
                  29: PC = 00000038, OPCODE = 32218193, ALU_DATA = bb883644, UART = 00
                  30: PC = 0000003c, OPCODE = 0020a023, ALU_DATA = 00000100, UART = 00
                  32: PC = 00000040, OPCODE = 0030a223, ALU_DATA = 00000104, UART = 00
                  34: PC = 00000044, OPCODE = 0000a203, ALU_DATA = 00000100, UART = 00
                  36: PC = 00000048, OPCODE = 0040a283, ALU_DATA = 00000104, UART = 00
                  38: PC = 0000004c, OPCODE = 00020013, ALU_DATA = 11ffaa99, UART = 00
                  40: PC = 00000050, OPCODE = 00028013, ALU_DATA = bb883322, UART = 00
                  42: PC = 00000054, OPCODE = 0020a223, ALU_DATA = 00000104, UART = 00
                  44: PC = 00000058, OPCODE = 0030a023, ALU_DATA = 00000100, UART = 00
                  46: PC = 0000005c, OPCODE = 0040a203, ALU_DATA = 00000104, UART = 00
                  48: PC = 00000060, OPCODE = 0000a283, ALU_DATA = 00000100, UART = 00
                  50: PC = 00000064, OPCODE = 00020013, ALU_DATA = 11ffaa99, UART = 00
                  52: PC = 00000068, OPCODE = 00028013, ALU_DATA = bb883322, UART = 00
                  54: PC = 0000006c, OPCODE = 0000a303, ALU_DATA = 00000100, UART = 00
                  56: PC = 00000070, OPCODE = 00408093, ALU_DATA = 00000104, UART = 00
                  57: PC = 00000070, OPCODE = 00408093, ALU_DATA = 00000108, UART = 00
                  58: PC = 00000074, OPCODE = 00008013, ALU_DATA = 00000104, UART = 00
                  60: PC = 00000078, OPCODE = 0000006f, ALU_DATA = 00000078, UART = 00
../mytest/moptest5.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 00800093, ALU_DATA = 00000008, UART = 00
                   2: PC = 00000004, OPCODE = beefa137, ALU_DATA = beefa000, UART = 00
                   4: PC = 00000008, OPCODE = 66410113, ALU_DATA = beefa664, UART = 00
                   5: PC = 00000008, OPCODE = 66410113, ALU_DATA = beefacc8, UART = 00
                   6: PC = 0000000c, OPCODE = 0020a023, ALU_DATA = 00000008, UART = 00
                   8: PC = 00000010, OPCODE = 00000013, ALU_DATA = 00000000, UART = 00
                  10: PC = 00000014, OPCODE = 00000013, ALU_DATA = 00000000, UART = 00
                  12: PC = 00000018, OPCODE = 00c00093, ALU_DATA = 0000000c, UART = 00
                  14: PC = 0000001c, OPCODE = 12345137, ALU_DATA = 12345000, UART = 00
                  16: PC = 00000020, OPCODE = 67810113, ALU_DATA = 12345678, UART = 00
                  17: PC = 00000020, OPCODE = 67810113, ALU_DATA = 12345cf0, UART = 00
                  18: PC = 00000024, OPCODE = 0020a023, ALU_DATA = 0000000c, UART = 00
                  20: PC = 00000028, OPCODE = 00000013, ALU_DATA = 00000000, UART = 00
                  22: PC = 0000002c, OPCODE = 00000013, ALU_DATA = 00000000, UART = 00
                  24: PC = 00000030, OPCODE = 00200093, ALU_DATA = 00000002, UART = 00
                  26: PC = 00000034, OPCODE = 00400113, ALU_DATA = 00000004, UART = 00
                  28: PC = 00000038, OPCODE = 0ff00193, ALU_DATA = 000000ff, UART = 00
                  30: PC = 0000003c, OPCODE = 00109193, ALU_DATA = 00000004, UART = 00
                  32: PC = 00000040, OPCODE = 002181b3, ALU_DATA = 00000008, UART = 00
                  33: PC = 00000040, OPCODE = 002181b3, ALU_DATA = 0000000c, UART = 00
                  34: PC = 00000044, OPCODE = 0001a183, ALU_DATA = 00000008, UART = 00
                  35: PC = 00000044, OPCODE = 0001a183, ALU_DATA = beefa664, UART = 00
                  36: PC = 00000048, OPCODE = 003002b3, ALU_DATA = beefa664, UART = 00
                  38: PC = 0000004c, OPCODE = 003002b3, ALU_DATA = beefa664, UART = 00
                  40: PC = 00000050, OPCODE = 003002b3, ALU_DATA = beefa664, UART = 00
                  42: PC = 00000054, OPCODE = 00209193, ALU_DATA = 00000008, UART = 00
                  44: PC = 00000058, OPCODE = 002181b3, ALU_DATA = 0000000c, UART = 00
                  45: PC = 00000058, OPCODE = 002181b3, ALU_DATA = 00000010, UART = 00
                  46: PC = 0000005c, OPCODE = 0001a183, ALU_DATA = 0000000c, UART = 00
                  47: PC = 0000005c, OPCODE = 0001a183, ALU_DATA = 12345678, UART = 00
                  48: PC = 00000060, OPCODE = 003002b3, ALU_DATA = 12345678, UART = 00
                  50: PC = 00000064, OPCODE = 003002b3, ALU_DATA = 12345678, UART = 00
                  52: PC = 00000068, OPCODE = 003002b3, ALU_DATA = 12345678, UART = 00
                  54: PC = 0000006c, OPCODE = 00309193, ALU_DATA = 00000010, UART = 00
                  56: PC = 00000070, OPCODE = 002181b3, ALU_DATA = 00000014, UART = 00
                  57: PC = 00000070, OPCODE = 002181b3, ALU_DATA = 00000018, UART = 00
                  58: PC = 00000074, OPCODE = 0001a183, ALU_DATA = 00000014, UART = 00
                  59: PC = 00000074, OPCODE = 0001a183, ALU_DATA = 00000013, UART = 00
                  60: PC = 00000078, OPCODE = 003002b3, ALU_DATA = 00000013, UART = 00
                  62: PC = 0000007c, OPCODE = 00109193, ALU_DATA = 00000004, UART = 00
                  64: PC = 00000080, OPCODE = 002181b3, ALU_DATA = 00000008, UART = 00
                  65: PC = 00000080, OPCODE = 002181b3, ALU_DATA = 0000000c, UART = 00
                  66: PC = 00000084, OPCODE = 0001a183, ALU_DATA = 00000008, UART = 00
                  67: PC = 00000084, OPCODE = 0001a183, ALU_DATA = beefa664, UART = 00
                  68: PC = 00000088, OPCODE = 003002b3, ALU_DATA = beefa664, UART = 00
                  70: PC = 0000008c, OPCODE = 003002b3, ALU_DATA = beefa664, UART = 00
                  72: PC = 00000090, OPCODE = 003002b3, ALU_DATA = beefa664, UART = 00
                  74: PC = 00000094, OPCODE = 0000006f, ALU_DATA = 00000094, UART = 00
../mytest/moptest6.hex
WARNING: RV32IM-1.v:166: $readmemh(test.hex): Not enough words in the file for the requested range [0:65535].
VCD info: dumpfile RV32IM.vcd opened for output.
                   0: PC = 00000000, OPCODE = 00000093, ALU_DATA = 00000000, UART = 00
                   2: PC = 00000004, OPCODE = 0000a103, ALU_DATA = 00000000, UART = 00
                   4: PC = 00000008, OPCODE = 0040a183, ALU_DATA = 00000004, UART = 00
                   6: PC = 0000000c, OPCODE = 0080a203, ALU_DATA = 00000008, UART = 00
                   8: PC = 00000010, OPCODE = 00010013, ALU_DATA = 00000093, UART = 00
                  10: PC = 00000014, OPCODE = 00018013, ALU_DATA = 0000a103, UART = 00
                  12: PC = 00000018, OPCODE = 00020013, ALU_DATA = 0040a183, UART = 00
                  14: PC = 0000001c, OPCODE = 00400093, ALU_DATA = 00000004, UART = 00
                  16: PC = 00000020, OPCODE = 0080a103, ALU_DATA = 0000000c, UART = 00
                  18: PC = 00000024, OPCODE = 0040a183, ALU_DATA = 00000008, UART = 00
                  20: PC = 00000028, OPCODE = 0000a203, ALU_DATA = 00000004, UART = 00
                  22: PC = 0000002c, OPCODE = 00010013, ALU_DATA = 0080a203, UART = 00
                  24: PC = 00000030, OPCODE = 00018013, ALU_DATA = 0040a183, UART = 00
                  26: PC = 00000034, OPCODE = 00020013, ALU_DATA = 0000a103, UART = 00
                  28: PC = 00000038, OPCODE = 10000093, ALU_DATA = 00000100, UART = 00
                  30: PC = 0000003c, OPCODE = 11ffb137, ALU_DATA = 11ffb000, UART = 00
                  32: PC = 00000040, OPCODE = a9910113, ALU_DATA = 11ffaa99, UART = 00
                  33: PC = 00000040, OPCODE = a9910113, ALU_DATA = 11ffa532, UART = 00
                  34: PC = 00000044, OPCODE = bb8831b7, ALU_DATA = bb883000, UART = 00
                  36: PC = 00000048, OPCODE = 32218193, ALU_DATA = bb883322, UART = 00
                  37: PC = 00000048, OPCODE = 32218193, ALU_DATA = bb883644, UART = 00
                  38: PC = 0000004c, OPCODE = 0020a023, ALU_DATA = 00000100, UART = 00
                  40: PC = 00000050, OPCODE = 0030a223, ALU_DATA = 00000104, UART = 00
                  42: PC = 00000054, OPCODE = 0040a423, ALU_DATA = 00000108, UART = 00
                  44: PC = 00000058, OPCODE = 0000a283, ALU_DATA = 00000100, UART = 00
                  46: PC = 0000005c, OPCODE = 0040a303, ALU_DATA = 00000104, UART = 00
                  48: PC = 00000060, OPCODE = 0080a383, ALU_DATA = 00000108, UART = 00
                  50: PC = 00000064, OPCODE = 00028013, ALU_DATA = 11ffaa99, UART = 00
                  52: PC = 00000068, OPCODE = 00030013, ALU_DATA = bb883322, UART = 00
                  54: PC = 0000006c, OPCODE = 00038013, ALU_DATA = 0000a103, UART = 00
                  56: PC = 00000070, OPCODE = 0020a623, ALU_DATA = 0000010c, UART = 00
                  58: PC = 00000074, OPCODE = 0030a423, ALU_DATA = 00000108, UART = 00
                  60: PC = 00000078, OPCODE = 0040a223, ALU_DATA = 00000104, UART = 00
                  62: PC = 0000007c, OPCODE = 00c0a283, ALU_DATA = 0000010c, UART = 00
                  64: PC = 00000080, OPCODE = 0080a303, ALU_DATA = 00000108, UART = 00
                  66: PC = 00000084, OPCODE = 0040a383, ALU_DATA = 00000104, UART = 00
                  68: PC = 00000088, OPCODE = 00028013, ALU_DATA = 11ffaa99, UART = 00
                  70: PC = 0000008c, OPCODE = 00030013, ALU_DATA = bb883322, UART = 00
                  72: PC = 00000090, OPCODE = 00038013, ALU_DATA = 0000a103, UART = 00
                  74: PC = 00000094, OPCODE = 0000a303, ALU_DATA = 00000100, UART = 00
                  76: PC = 00000098, OPCODE = 00408093, ALU_DATA = 00000104, UART = 00
                  77: PC = 00000098, OPCODE = 00408093, ALU_DATA = 00000108, UART = 00
                  78: PC = 0000009c, OPCODE = 00008013, ALU_DATA = 00000104, UART = 00
                  80: PC = 000000a0, OPCODE = 0000006f, ALU_DATA = 000000a0, UART = 00
